16.mat: flat_px=20325/27618 de_flat={'mean': 0.065, 'median': 0.035, 'p25': 0.017, 'p75': 0.072, 'p95': 0.196, 'p99': 0.455} de_all={'mean': 0.215, 'median': 0.041, 'p25': 0.02, 'p75': 0.093, 'p95': 0.392, 'p99': 2.426}
10.mat: flat_px=19845/27040 de_flat={'mean': 0.025, 'median': 0.014, 'p25': 0.008, 'p75': 0.024, 'p95': 0.057, 'p99': 0.256} de_all={'mean': 0.07, 'median': 0.017, 'p25': 0.009, 'p75': 0.033, 'p95': 0.143, 'p99': 0.511}
12.mat: flat_px=18980/24975 de_flat={'mean': 0.037, 'median': 0.018, 'p25': 0.01, 'p75': 0.031, 'p95': 0.09, 'p99': 0.558} de_all={'mean': 0.09, 'median': 0.021, 'p25': 0.011, 'p75': 0.043, 'p95': 0.219, 'p99': 0.864}
09.mat: flat_px=13776/25080 de_flat={'mean': 0.054, 'median': 0.03, 'p25': 0.015, 'p75': 0.058, 'p95': 0.15, 'p99': 0.306} de_all={'mean': 0.212, 'median': 0.043, 'p25': 0.02, 'p75': 0.098, 'p95': 0.383, 'p99': 1.679}
19.mat: flat_px=25363/29789 de_flat={'mean': 0.082, 'median': 0.049, 'p25': 0.026, 'p75': 0.089, 'p95': 0.194, 'p99': 0.334} de_all={'mean': 0.1, 'median': 0.051, 'p25': 0.026, 'p75': 0.097, 'p95': 0.251, 'p99': 0.85}
11.mat: flat_px=18588/29085 de_flat={'mean': 0.036, 'median': 0.023, 'p25': 0.012, 'p75': 0.041, 'p95': 0.093, 'p99': 0.251} de_all={'mean': 0.157, 'median': 0.028, 'p25': 0.014, 'p75': 0.054, 'p95': 0.217, 'p99': 0.744}
20.mat: flat_px=19318/25190 de_flat={'mean': 0.105, 'median': 0.044, 'p25': 0.021, 'p75': 0.092, 'p95': 0.263, 'p99': 0.733} de_all={'mean': 0.143, 'median': 0.047, 'p25': 0.022, 'p75': 0.104, 'p95': 0.371, 'p99': 2.392}
00.mat: flat_px=10177/23359 de_flat={'mean': 0.057, 'median': 0.026, 'p25': 0.011, 'p75': 0.065, 'p95': 0.2, 'p99': 0.453} de_all={'mean': 0.17, 'median': 0.039, 'p25': 0.016, 'p75': 0.091, 'p95': 0.29, 'p99': 0.786}
21.mat: flat_px=16464/29095 de_flat={'mean': 0.043, 'median': 0.025, 'p25': 0.014, 'p75': 0.048, 'p95': 0.132, 'p99': 0.297} de_all={'mean': 0.089, 'median': 0.036, 'p25': 0.017, 'p75': 0.088, 'p95': 0.345, 'p99': 0.8}
04.mat: flat_px=14474/26340 de_flat={'mean': 0.037, 'median': 0.025, 'p25': 0.014, 'p75': 0.044, 'p95': 0.096, 'p99': 0.214} de_all={'mean': 0.155, 'median': 0.031, 'p25': 0.016, 'p75': 0.062, 'p95': 0.204, 'p99': 3.642}
28.mat: flat_px=12266/21122 de_flat={'mean': 0.083, 'median': 0.024, 'p25': 0.012, 'p75': 0.054, 'p95': 0.388, 'p99': 1.062} de_all={'mean': 0.187, 'median': 0.035, 'p25': 0.015, 'p75': 0.126, 'p95': 0.679, 'p99': 2.022}
30.mat: flat_px=19625/26765 de_flat={'mean': 0.048, 'median': 0.026, 'p25': 0.014, 'p75': 0.049, 'p95': 0.131, 'p99': 0.286} de_all={'mean': 0.079, 'median': 0.031, 'p25': 0.016, 'p75': 0.066, 'p95': 0.287, 'p99': 0.719}
27.mat: flat_px=15633/28220 de_flat={'mean': 0.035, 'median': 0.018, 'p25': 0.01, 'p75': 0.031, 'p95': 0.099, 'p99': 0.41} de_all={'mean': 0.116, 'median': 0.024, 'p25': 0.013, 'p75': 0.061, 'p95': 0.36, 'p99': 1.027}
23.mat: flat_px=18294/28365 de_flat={'mean': 0.039, 'median': 0.022, 'p25': 0.013, 'p75': 0.036, 'p95': 0.112, 'p99': 0.45} de_all={'mean': 0.057, 'median': 0.027, 'p25': 0.015, 'p75': 0.055, 'p95': 0.214, 'p99': 0.503}
25.mat: flat_px=11550/24049 de_flat={'mean': 0.043, 'median': 0.024, 'p25': 0.014, 'p75': 0.044, 'p95': 0.145, 'p99': 0.329} de_all={'mean': 0.174, 'median': 0.035, 'p25': 0.018, 'p75': 0.083, 'p95': 0.287, 'p99': 2.054}
24.mat: flat_px=15046/25716 de_flat={'mean': 0.037, 'median': 0.022, 'p25': 0.013, 'p75': 0.04, 'p95': 0.12, 'p99': 0.236} de_all={'mean': 0.174, 'median': 0.031, 'p25': 0.016, 'p75': 0.076, 'p95': 0.286, 'p99': 1.26}
34.mat: flat_px=23786/28860 de_flat={'mean': 0.03, 'median': 0.016, 'p25': 0.008, 'p75': 0.027, 'p95': 0.053, 'p99': 0.086} de_all={'mean': 0.105, 'median': 0.017, 'p25': 0.009, 'p75': 0.03, 'p95': 0.067, 'p99': 1.889}
31.mat: flat_px=20663/27646 de_flat={'mean': 0.041, 'median': 0.029, 'p25': 0.016, 'p75': 0.047, 'p95': 0.098, 'p99': 0.194} de_all={'mean': 0.085, 'median': 0.031, 'p25': 0.017, 'p75': 0.055, 'p95': 0.164, 'p99': 0.792}
26.mat: flat_px=19494/30013 de_flat={'mean': 0.054, 'median': 0.032, 'p25': 0.018, 'p75': 0.055, 'p95': 0.142, 'p99': 0.433} de_all={'mean': 0.1, 'median': 0.04, 'p25': 0.021, 'p75': 0.082, 'p95': 0.388, 'p99': 1.179}
32.mat: flat_px=26875/29301 de_flat={'mean': 0.102, 'median': 0.055, 'p25': 0.018, 'p75': 0.122, 'p95': 0.287, 'p99': 0.502} de_all={'mean': 0.145, 'median': 0.057, 'p25': 0.019, 'p75': 0.129, 'p95': 0.346, 'p99': 1.932}
33.mat: flat_px=19913/26915 de_flat={'mean': 0.026, 'median': 0.012, 'p25': 0.006, 'p75': 0.024, 'p95': 0.066, 'p99': 0.143} de_all={'mean': 0.047, 'median': 0.014, 'p25': 0.007, 'p75': 0.029, 'p95': 0.083, 'p99': 0.191}
35.mat: flat_px=19783/25805 de_flat={'mean': 0.036, 'median': 0.025, 'p25': 0.014, 'p75': 0.043, 'p95': 0.104, 'p99': 0.205} de_all={'mean': 0.069, 'median': 0.028, 'p25': 0.015, 'p75': 0.053, 'p95': 0.223, 'p99': 0.882}
41.mat: flat_px=20808/27182 de_flat={'mean': 0.045, 'median': 0.024, 'p25': 0.011, 'p75': 0.048, 'p95': 0.142, 'p99': 0.277} de_all={'mean': 0.131, 'median': 0.029, 'p25': 0.012, 'p75': 0.065, 'p95': 0.304, 'p99': 1.003}
40.mat: flat_px=23079/29295 de_flat={'mean': 0.034, 'median': 0.022, 'p25': 0.01, 'p75': 0.044, 'p95': 0.101, 'p99': 0.191} de_all={'mean': 0.052, 'median': 0.025, 'p25': 0.011, 'p75': 0.052, 'p95': 0.169, 'p99': 0.561}
47.mat: flat_px=15829/25224 de_flat={'mean': 0.06, 'median': 0.031, 'p25': 0.014, 'p75': 0.068, 'p95': 0.185, 'p99': 0.486} de_all={'mean': 0.204, 'median': 0.042, 'p25': 0.018, 'p75': 0.109, 'p95': 0.506, 'p99': 2.314}
50.mat: flat_px=16927/27608 de_flat={'mean': 0.03, 'median': 0.014, 'p25': 0.007, 'p75': 0.03, 'p95': 0.092, 'p99': 0.334} de_all={'mean': 0.047, 'median': 0.02, 'p25': 0.009, 'p75': 0.047, 'p95': 0.165, 'p99': 0.471}
44.mat: flat_px=21436/29400 de_flat={'mean': 0.029, 'median': 0.018, 'p25': 0.009, 'p75': 0.036, 'p95': 0.084, 'p99': 0.172} de_all={'mean': 0.051, 'median': 0.022, 'p25': 0.01, 'p75': 0.047, 'p95': 0.17, 'p99': 0.446}
51.mat: flat_px=12695/21557 de_flat={'mean': 0.023, 'median': 0.007, 'p25': 0.003, 'p75': 0.023, 'p95': 0.075, 'p99': 0.176} de_all={'mean': 0.16, 'median': 0.019, 'p25': 0.005, 'p75': 0.06, 'p95': 0.269, 'p99': 1.298}
54.mat: flat_px=16770/28659 de_flat={'mean': 0.043, 'median': 0.018, 'p25': 0.006, 'p75': 0.042, 'p95': 0.105, 'p99': 0.256} de_all={'mean': 0.125, 'median': 0.029, 'p25': 0.009, 'p75': 0.07, 'p95': 0.293, 'p99': 0.718}
03.mat: flat_px=17826/27736 de_flat={'mean': 0.055, 'median': 0.033, 'p25': 0.019, 'p75': 0.056, 'p95': 0.12, 'p99': 0.333} de_all={'mean': 0.139, 'median': 0.037, 'p25': 0.021, 'p75': 0.064, 'p95': 0.157, 'p99': 1.247}
55.mat: flat_px=18514/29265 de_flat={'mean': 0.03, 'median': 0.01, 'p25': 0.004, 'p75': 0.025, 'p95': 0.103, 'p99': 0.416} de_all={'mean': 0.105, 'median': 0.015, 'p25': 0.006, 'p75': 0.05, 'p95': 0.271, 'p99': 0.783}
56.mat: flat_px=18444/26098 de_flat={'mean': 0.019, 'median': 0.008, 'p25': 0.004, 'p75': 0.016, 'p95': 0.056, 'p99': 0.162} de_all={'mean': 0.12, 'median': 0.01, 'p25': 0.005, 'p75': 0.026, 'p95': 0.136, 'p99': 0.717}
